Cluster,Database ID,Baseline,A1,A2,A3,SD
H0,103445,0.7,-15.986,-81.601,0,0.498
H0,103465,0.7,0,0.5,-198.24,0.42
H0,104166,0.7,0,0.5,-138.277,0.211
H0,104393,0.7,-104.894,201.939,-275.962,0.261
H0,104409,0.7,-84.998,197.325,-277.285,0.234
H0,105020,0.7,0,0.5,-147.234,0.442
H0,37470,0.7,0,0.5,-136.415,0.672
H0,41544,0.7,-21.604,0.5,-116.349,0.373
H0,41617,0.7,-59.266,18.042,-129.225,0.242
H0,41643,0.7,-17.642,0.5,-118.894,0.206
H0,41661,3.933,-26.556,-999.333,1317.705,0.956
H0,44698,0.7,-17.045,-71.659,0,0.274
H0,45699,6,-82.671,-999.673,1804.921,0.463
H0,46876,0.7,0,0.5,-193.137,0.301
H0,50353,2.483,-28.825,-180.67,153.011,0.45
H0,53965,0.7,0,0.5,-276.722,0.361
H0,56339,2.713,0,562.402,-943.423,0.482
H0,56401,4.356,-51.456,-1000,1202.349,0.658
H0,56530,0.955,-24.277,0.5,12.811,0.715
H0,58160,0.7,-39.848,43.745,-179.294,0.293
H0,64985,0.7,-2.321,-184.095,189.423,0.965
H0,65054,0.7,0,0.5,-126.766,0.287
H0,65342,4.538,-12.072,-125.379,-113.326,0.569
H0,66094,0.7,-11.625,-150.047,183.723,1.06
H0,68346,0.7,0,-386.531,0,0.237
H0,68901,0.7,-31.221,0.5,-178.025,0.254
H0,72851,1.346,-66.451,-0.562,-1.26,0.577
H0,75437,0.7,0,0.5,-167.43,0.355
H0,75456,0.7,-36.401,0.5,-55.93,0.386
H0,79080,0.7,0,0.5,-141.22,0.29
H0,87822,0.7,0,0.5,-121.11,0.283
H0,88938,0.7,0,0.5,-137.052,0.478
H0,92397,1.57,13.168,0.5,-192.997,0.757
H0,92702,2.038,-150,58.254,-15.985,0.693
H0,94274,-0.323,-28.632,72.564,-93.155,0.249
H0,94354,0.7,0,20.359,-133.113,0.337
H0,94380,1.546,-149.96,204.618,-222.919,0.174
H0,94471,0.7,0,117.739,-275.422,0.794
H0,96445,0.7,-51.859,0.5,-105.349,0.254
H0,97143,0.7,-31.295,-52.6,4.062,0.332
H1,104395,-4.6,-28.549,52.86,-58.612,0.706
H1,37529,-4.6,-6.278,-128.35,131.387,0.683
H1,44804,-4.6,-9.453,-7.221,-9.057,0.483
H1,45234,-4.6,8.027,-2.929,-4.935,1.117
H1,52444,-4.6,-14.043,-37.834,10.008,0.404
H1,53644,-4.6,-5.587,-13.71,-12.126,0.496
H1,65048,-4.6,-22.91,89.488,-123.189,0.94
H1,65223,-4.6,-13.89,-64.613,58.268,0.393
H1,65230,-4.6,-5.566,-38.06,7.54,0.283
H1,74310,-4.6,-21.032,-13.423,30.092,1.074
H1,87209,-4.6,-5.607,50.018,-81.542,0.619
H1,87531,-4.6,-14.47,-19.724,1.992,0.336
H1,88203,-4.6,0,0.5,-117.17,0.389
H1,88990,-4.6,-2.354,-36.32,-4.175,0.983
H1,88995,-4.6,-0.409,36.581,-95.896,0.785
H1,94462,-4.6,-33.737,80.916,-58.656,1.853
H2,103137,3.476,-150,-1000,2999.999,0.624
H2,103243,6,-150,-1000,3000,0.506
H2,103319,6,-150,-1000,3000,0.628
H2,103615,6,-150,-1000,3000,0.697
H2,103981,6,-150,-1000,3000,0.458
H2,103986,6,-150,-1000,3000,0.901
H2,104016,6,-150,-1000,3000,0.485
H2,104195,2.585,-150,-1000,3000,0.762
H2,104371,6,-150,-1000,3000,0.411
H2,359,6,-150,-1000,3000,0.456
H2,37445,6,-150,-1000,3000,0.654
H2,41612,6,-150,-1000,3000,0.67
H2,52410,6,-150,-1000,3000,1.239
H2,52621,6,-150,-1000,3000,0.433
H2,53620,6,-150,-1000,3000,1.126
H2,56060,5.335,-150,-1000,2999.994,0.847
H2,56079,6,-150,-1000,3000,0.748
H2,56102,6,-150,-1000,3000,0.6
H2,56106,6,-150,-1000,3000,0.431
H2,56431,6,-150,-1000,3000,0.514
H2,68898,0.7,0,-1000,1657.434,1.827
H2,72841,6,-150,-1000,3000,0.45
H2,72917,6,-150,-1000,3000,0.557
H2,72997,6,-150,-1000,3000,0.515
H2,73088,6,-150,-1000,3000,0.888
H2,74392,6,-150,-1000,3000,0.559
H2,74544,6,-150,-1000,3000,0.777
H2,75388,6,-150,-1000,3000,0.744
H2,75521,6,-150,-1000,3000,0.54
H2,81646,6,-150,-1000,3000,0.642
H2,81672,6,-150,-1000,3000,0.54
H2,81696,6,-150,-1000,3000,0.88
H2,94125,6,-150,-1000,3000,0.536
H3,103129,0.7,150,1001,3000,1.273
H3,103995,0.7,150,1001,3000,1.213
H3,37612,2.921,150,1001,3000,1.503
H3,50324,1.037,150,1001,3000,0.516
H3,52589,2.683,150,1001,3000,0.382
H3,55673,1.774,150,1001,3000,1.075
H3,56166,2.215,150,1001,3000,0.863
H3,56198,2.131,150,1001,3000,0.482
H3,56481,1.466,150,1001,3000,0.977
H3,56523,1.841,150,1001,3000,0.997
H3,73004,2.072,150,1001,3000,0.625
H3,73041,2.581,150,1001,3000,0.749
H3,87238,1.813,150,1001,3000,0.494
H3,92443,3.508,150,1001,3000,0.393
H4,103269,6,150,1001,3000,0.889
H4,103982,6,150,1001,3000,0.436
H4,37446,6,150,1001,3000,0.401
H4,37482,6,150,1001,3000,0.508
H4,37509,6,150,1001,3000,0.534
H4,37665,6,150,1001,3000,0.606
H4,41598,6,150,1001,3000,0.637
H4,53915,6,150,1001,3000,0.79
H4,56368,6,150,1001,3000,0.473
H4,58139,6,150,1001,3000,0.779
H4,58328,6,150,1001,3000,0.583
H4,69992,6,150,1001,3000,0.39
H4,73026,6,150,1001,3000,0.401
H4,73037,6,150,1001,3000,0.467
H4,81667,6,150,1001,3000,0.508
H4,81694,6,150,1001,3000,0.754
H4,92393,6,150,1001,3000,0.487
H4,92399,6,150,1001,3000,0.501
H4,92402,6,150,1001,3000,0.505
H4,92571,6,150,1001,3000,0.729
H4,94176,6,150,1001,3000,1.005
H4,94369,6,150,1001,3000,0.546
H4,94508,6,150,1001,3000,0.403
H4,96902,6,150,1001,3000,0.536
H5,103079,1.569,-150,861.935,-1095.588,0.284
H5,103107,4.027,0,-999.432,1174.736,0.829
H5,52469,4.565,-150,541.701,-393.597,1.429
H5,52474,0.7,150,1001,3000,2.866
H5,56114,5.289,-150,841.835,-824.329,0.686
H5,66082,6,150,-1000,3000,0.563
H5,73028,2.32,150,1001,3000,1.659
H5,80321,5.21,0,77.598,-565.331,0.548
H5,81708,0.746,150,-1000,3000,3.265
H5,81710,3.806,150,1001,3000,0.433
H5,92701,-2.486,91.506,-1000,1600.999,8.204
H5,94329,0.664,150,1001,-2998.096,0.377
